Discord,Team,Individual,Individual?,% Calculator,Rank
,FaZe Clan,92.85%,FALSE,#REF!,#REF!
,the nation,92.79%,FALSE,#REF!,#REF!
,100 Thieves,92.72%,FALSE,#REF!,#REF!
,TSM,92.52%,FALSE,#REF!,#REF!
,,92.51%,TRUE,92.51%,Premier
,,92.44%,TRUE,92.44%,Premier
,DHBK,92.33%,FALSE,#REF!,#REF!
,Evil Geniuses,92.29%,FALSE,#REF!,#REF!
,,92.28%,TRUE,92.28%,Premier
,ex-Soar,92.28%,FALSE,#REF!,#REF!
,,92.27%,TRUE,92.27%,Premier
,NRG Esports,92.27%,FALSE,#REF!,#REF!
,,92.06%,TRUE,92.06%,Premier
,M80,92.03%,FALSE,#REF!,#REF!
,ex-Soar,92.01%,FALSE,#REF!,#REF!
,FaZe Clan,92.01%,FALSE,#REF!,#REF!
,T1,91.98%,FALSE,#REF!,#REF!
,Oxygen Academy,91.94%,FALSE,#REF!,#REF!
,Evil Geniuses,91.83%,FALSE,#REF!,#REF!
,YFP Gaming,91.74%,FALSE,#REF!,#REF!
,,91.65%,TRUE,91.65%,Premier
,STEALING LUNCH MONEY,91.57%,FALSE,#REF!,#REF!
,Evil Geniuses,91.52%,FALSE,#REF!,#REF!
,,91.48%,TRUE,91.48%,Premier
,The Ganaccis,91.46%,FALSE,#REF!,#REF!
,The Silk Road,91.34%,FALSE,#REF!,#REF!
,Nearest Airport,91.30%,FALSE,#REF!,#REF!
,T1,91.21%,FALSE,#REF!,#REF!
,The Silk Road,91.08%,FALSE,#REF!,#REF!
,,91.04%,TRUE,91.04%,Premier
,,90.79%,TRUE,90.79%,Premier
,Scooby Doo Gang,90.70%,FALSE,#REF!,#REF!
,,90.61%,TRUE,90.61%,Premier
,,90.61%,TRUE,90.61%,Premier
,,90.55%,TRUE,90.55%,Premier
,,90.49%,TRUE,90.49%,Premier
,ex-Soar,90.48%,FALSE,#REF!,#REF!
,,90.33%,TRUE,90.33%,Premier
,100 Thieves,90.32%,FALSE,#REF!,#REF!
,,90.14%,TRUE,90.14%,Premier
,Shopify Rebellion GC,90.14%,FALSE,#REF!,#REF!
,Scooby Doo Gang,90.07%,FALSE,#REF!,#REF!
,Sakura Storm,89.97%,FALSE,#REF!,#REF!
,Evil Geniuses,89.96%,FALSE,#REF!,#REF!
,,89.94%,TRUE,89.94%,Premier
,,89.91%,TRUE,89.91%,Premier
,Soniqs,89.90%,FALSE,#REF!,#REF!
,,89.90%,TRUE,89.90%,Premier
,,89.87%,TRUE,89.87%,Premier
,,89.81%,TRUE,89.81%,Premier
,Sentinels,89.74%,FALSE,#REF!,#REF!
,The Silk Road,89.70%,FALSE,#REF!,#REF!
,Soniqs,89.60%,FALSE,#REF!,#REF!
,,89.59%,TRUE,89.59%,Premier
,,89.57%,TRUE,89.57%,Premier
,,89.49%,TRUE,89.49%,Premier
,,89.45%,TRUE,89.45%,Premier
,,89.41%,TRUE,89.41%,Premier
,City Boys,89.41%,FALSE,#REF!,#REF!
,,89.32%,TRUE,89.32%,Premier
,,89.31%,TRUE,89.31%,Premier
,Skwirel Warriers,89.27%,FALSE,#REF!,#REF!
,Dark Ratio,89.26%,FALSE,#REF!,#REF!
,BASILISK,89.20%,FALSE,#REF!,#REF!
,,88.99%,TRUE,88.99%,Premier
,the nation,88.91%,FALSE,#REF!,#REF!
,NRG Esports,88.87%,FALSE,#REF!,#REF!
,,88.85%,TRUE,88.85%,Premier
,,88.80%,TRUE,88.80%,Premier
,DHBK,88.76%,FALSE,#REF!,#REF!
,,88.75%,TRUE,88.75%,Premier
,The Guard,88.75%,FALSE,#REF!,#REF!
,,88.71%,TRUE,88.71%,Premier
,YFP Gaming,88.70%,FALSE,#REF!,#REF!
,,88.68%,TRUE,88.68%,Premier
,,88.64%,TRUE,88.64%,Premier
,,88.63%,TRUE,88.63%,Premier
,,88.57%,TRUE,88.57%,Premier
,,88.46%,TRUE,88.46%,Premier
,The Silk Road,88.35%,FALSE,#REF!,#REF!
,,88.29%,TRUE,88.29%,Premier
,Mystic Venus,88.28%,FALSE,#REF!,#REF!
,Shopify Rebellion,88.22%,FALSE,#REF!,#REF!
,Nearest Airport,88.18%,FALSE,#REF!,#REF!
,STEALING LUNCH MONEY,88.17%,FALSE,#REF!,#REF!
,,88.17%,TRUE,88.17%,Premier
,Moon Raccoons,88.10%,FALSE,#REF!,#REF!
,,88.08%,TRUE,88.08%,Premier
,the nation,88.07%,FALSE,#REF!,#REF!
,,87.91%,TRUE,87.91%,Premier
,Complexity GX3,87.81%,FALSE,#REF!,#REF!
,,87.48%,TRUE,87.48%,Premier
,,87.33%,TRUE,87.33%,Premier
,DHBK,87.29%,FALSE,#REF!,#REF!
,,87.23%,TRUE,87.23%,Premier
,,87.05%,TRUE,87.05%,Premier
,Kitten Shelter,87.04%,FALSE,#REF!,#REF!
,City Boys,86.99%,FALSE,#REF!,#REF!
,,86.96%,TRUE,86.96%,Premier
,BASILISK,86.94%,FALSE,#REF!,#REF!
,Shopify Rebellion,86.83%,FALSE,#REF!,#REF!
,BASILISK,86.81%,FALSE,#REF!,#REF!
,,86.72%,TRUE,86.72%,Premier
,,86.62%,TRUE,86.62%,Premier
,VIRTUOSO,86.57%,FALSE,#REF!,#REF!
,,86.55%,TRUE,86.55%,Premier
,,86.49%,TRUE,86.49%,Premier
,,86.43%,TRUE,86.43%,Premier
,,86.29%,TRUE,86.29%,Premier
,,86.20%,TRUE,86.20%,Premier
,VIRTUOSO,86.14%,FALSE,#REF!,#REF!
,,86.02%,TRUE,86.02%,Premier
,Moon Raccoons,86.01%,FALSE,#REF!,#REF!
,City Boys,85.91%,FALSE,#REF!,#REF!
,unannounced,85.89%,FALSE,#REF!,#REF!
,Cloud9,85.77%,FALSE,#REF!,#REF!
,,85.76%,TRUE,85.76%,Premier
,Lenny Time,85.60%,FALSE,#REF!,#REF!
,,85.56%,TRUE,85.56%,Premier
,,85.55%,TRUE,85.55%,Premier
,,85.53%,TRUE,85.53%,Premier
,,85.45%,TRUE,85.45%,Premier
,,85.38%,TRUE,85.38%,Premier
,Moon Raccoons,85.33%,FALSE,#REF!,#REF!
,,85.32%,TRUE,85.32%,Premier
,Skwirel Warriers,85.26%,FALSE,#REF!,#REF!
,,85.25%,TRUE,85.25%,Premier
,,85.19%,TRUE,85.19%,Premier
,,85.17%,TRUE,85.17%,Premier
,,84.99%,TRUE,84.99%,Premier
,,84.94%,TRUE,84.94%,Premier
,,84.90%,TRUE,84.90%,Premier
,CLG Red,84.89%,FALSE,#REF!,#REF!
,,84.86%,TRUE,84.86%,Premier
,STEALING LUNCH MONEY,84.83%,FALSE,#REF!,#REF!
,VIRTUOSO,84.81%,FALSE,#REF!,#REF!
,Project VII,84.81%,FALSE,#REF!,#REF!
,,84.79%,TRUE,84.79%,Premier
,,84.76%,TRUE,84.76%,Premier
,I miss her,84.65%,FALSE,#REF!,#REF!
,,84.53%,TRUE,84.53%,Premier
,The Ganaccis,84.47%,FALSE,#REF!,#REF!
,,84.36%,TRUE,84.36%,Premier
,,84.28%,TRUE,84.28%,Premier
,,84.21%,TRUE,84.21%,Premier
,,84.03%,TRUE,84.03%,Premier
,,83.82%,TRUE,83.82%,Premier
,,83.66%,TRUE,83.66%,Premier
,,83.66%,TRUE,83.66%,Premier
,,83.66%,TRUE,83.66%,Premier
,,83.66%,TRUE,83.66%,Premier
,,83.65%,TRUE,83.65%,Premier
,,83.61%,TRUE,83.61%,Premier
,,83.60%,TRUE,83.60%,Premier
,,83.51%,TRUE,83.51%,Premier
,,83.46%,TRUE,83.46%,Premier
,Kitten Shelter,83.45%,FALSE,#REF!,#REF!
,,83.38%,TRUE,83.38%,Premier
,,83.28%,TRUE,83.28%,Premier
,,83.22%,TRUE,83.22%,Premier
,BASILISK,83.20%,FALSE,#REF!,#REF!
,,82.95%,TRUE,82.95%,Premier
,DNADIFF,82.94%,FALSE,#REF!,#REF!
,Kitten Shelter,82.92%,FALSE,#REF!,#REF!
,Scooby Doo Gang,82.80%,FALSE,#REF!,#REF!
,,82.74%,TRUE,82.74%,Premier
,,82.74%,TRUE,82.74%,Premier
,,82.64%,TRUE,82.64%,Premier
,Emotional Support,82.47%,FALSE,#REF!,#REF!
,,82.47%,TRUE,82.47%,Premier
,,82.34%,TRUE,82.34%,Premier
,Area of Effect,82.27%,FALSE,#REF!,#REF!
,,82.20%,TRUE,82.20%,Premier
,unannounced,82.20%,FALSE,#REF!,#REF!
,Team Revenge,82.18%,FALSE,#REF!,#REF!
,CrouchShoot,82.10%,FALSE,#REF!,#REF!
,Dark Ratio,82.02%,FALSE,#REF!,#REF!
,,81.96%,TRUE,81.96%,Premier
,Nearest Airport,81.91%,FALSE,#REF!,#REF!
,,81.90%,TRUE,81.90%,Premier
,,81.87%,TRUE,81.87%,Premier
,Cat Company,81.84%,FALSE,#REF!,#REF!
,,81.79%,TRUE,81.79%,Premier
,,81.71%,TRUE,81.71%,Premier
,DNADIFF,81.62%,FALSE,#REF!,#REF!
,,81.57%,TRUE,81.57%,Premier
,Lenny Time,81.50%,FALSE,#REF!,#REF!
,,81.40%,TRUE,81.40%,Premier
,,81.38%,TRUE,81.38%,Premier
,,81.38%,TRUE,81.38%,Premier
,,81.34%,TRUE,81.34%,Premier
,Final Black,81.27%,FALSE,#REF!,#REF!
,SHIFT,81.13%,FALSE,#REF!,#REF!
,,81.01%,TRUE,81.01%,Premier
,VIRTUOSO,81.01%,FALSE,#REF!,#REF!
,,81.00%,TRUE,81.00%,Premier
,,81.00%,TRUE,81.00%,Premier
,,80.88%,TRUE,80.88%,Premier
,The Silk Road,80.85%,FALSE,#REF!,#REF!
,QoR,80.79%,FALSE,#REF!,#REF!
,Soniqs,80.77%,FALSE,#REF!,#REF!
,STEALING LUNCH MONEY,80.69%,FALSE,#REF!,#REF!
,,80.69%,TRUE,80.69%,Premier
,,80.65%,TRUE,80.65%,Premier
,,80.60%,TRUE,80.60%,Premier
,,80.56%,TRUE,80.56%,Premier
,,80.53%,TRUE,80.53%,Premier
,Noxious Green,80.49%,FALSE,#REF!,#REF!
,YFP Gaming,80.49%,FALSE,#REF!,#REF!
,,80.47%,TRUE,80.47%,Premier
,,80.41%,TRUE,80.41%,Premier
,,80.41%,TRUE,80.41%,Premier
,,80.41%,TRUE,80.41%,Premier
,,80.41%,TRUE,80.41%,Premier
,Team Reckaroo,80.34%,FALSE,#REF!,#REF!
,Cloud9 White,80.33%,FALSE,#REF!,#REF!
,,80.29%,TRUE,80.29%,Premier
,Spaghetti,80.25%,FALSE,#REF!,#REF!
,,80.18%,TRUE,80.18%,Premier
,,80.17%,TRUE,80.17%,Premier
,,80.03%,TRUE,80.03%,Premier
,,79.97%,TRUE,79.97%,Premier
,koalanoob fan club,79.94%,FALSE,#REF!,#REF!
,,79.93%,TRUE,79.93%,Premier
,,79.87%,TRUE,79.87%,Premier
,DHBK,79.84%,FALSE,#REF!,#REF!
,,79.74%,TRUE,79.74%,Premier
,,79.64%,TRUE,79.64%,Premier
,,79.64%,TRUE,79.64%,Premier
,,79.59%,TRUE,79.59%,Premier
,Force Up Esports,79.35%,FALSE,#REF!,#REF!
,YFP Gaming,79.35%,FALSE,#REF!,#REF!
,,79.34%,TRUE,79.34%,Premier
,,79.28%,TRUE,79.28%,Premier
,Shopify Rebellion GC,79.27%,FALSE,#REF!,#REF!
,,79.20%,TRUE,79.20%,Premier
,,79.19%,TRUE,79.19%,Premier
,,79.05%,TRUE,79.05%,Premier
,,79.05%,TRUE,79.05%,Premier
,,79.02%,TRUE,79.02%,Premier
,BASILISK,78.85%,FALSE,#REF!,#REF!
,,78.77%,TRUE,78.77%,Premier
,,78.59%,TRUE,78.59%,Premier
,,78.57%,TRUE,78.57%,Premier
,,78.42%,TRUE,78.42%,Premier
,,78.41%,TRUE,78.41%,Premier
,,78.36%,TRUE,78.36%,Premier
,Evil Geniuses FE,78.29%,FALSE,#REF!,#REF!
,,78.27%,TRUE,78.27%,Premier
,XSET Purple,78.25%,FALSE,#REF!,#REF!
,,78.06%,TRUE,78.06%,Premier
,,78.03%,TRUE,78.03%,Premier
,,77.94%,TRUE,77.94%,Premier
,Alpha 1,77.94%,FALSE,#REF!,#REF!
,,77.87%,TRUE,77.87%,Premier
,The Ganaccis,77.84%,FALSE,#REF!,#REF!
,Sakura Storm,77.80%,FALSE,#REF!,#REF!
,Complexity GX3,77.63%,FALSE,#REF!,#REF!
,,77.61%,TRUE,77.61%,Premier
,,77.55%,TRUE,77.55%,Premier
,CRWNsports,77.53%,FALSE,#REF!,#REF!
,,77.50%,TRUE,77.50%,Premier
,,77.49%,TRUE,77.49%,Premier
,,77.47%,TRUE,77.47%,Premier
,,77.47%,TRUE,77.47%,Premier
,,77.42%,TRUE,77.42%,Premier
,VersionX,77.42%,FALSE,#REF!,#REF!
,,77.41%,TRUE,77.41%,Premier
,,77.40%,TRUE,77.40%,Premier
,,77.39%,TRUE,77.39%,Premier
,The Ganaccis,77.38%,FALSE,#REF!,#REF!
,,77.29%,TRUE,77.29%,Premier
,,77.25%,TRUE,77.25%,Premier
,,77.21%,TRUE,77.21%,Premier
,,77.11%,TRUE,77.11%,Premier
,Evil Geniuses FE,77.09%,FALSE,#REF!,#REF!
,Hamboigas,77.07%,FALSE,#REF!,#REF!
,Kitten Shelter,77.04%,FALSE,#REF!,#REF!
,Project VII,76.95%,FALSE,#REF!,#REF!
,,76.94%,TRUE,76.94%,Premier
,Shopify Rebellion GC,76.93%,FALSE,#REF!,#REF!
,,76.89%,TRUE,76.89%,Premier
,,76.88%,TRUE,76.88%,Premier
,,76.83%,TRUE,76.83%,Premier
,,76.73%,TRUE,76.73%,Premier
,,76.66%,TRUE,76.66%,Premier
,REVIVAL,76.63%,FALSE,#REF!,#REF!
,,76.59%,TRUE,76.59%,Premier
,Godset,76.41%,FALSE,#REF!,#REF!
,,76.32%,TRUE,76.32%,Premier
,,76.25%,TRUE,76.25%,Premier
,,76.24%,TRUE,76.24%,Premier
,,76.22%,TRUE,76.22%,Premier
,,76.14%,TRUE,76.14%,Premier
,,76.11%,TRUE,76.11%,Premier
,,76.07%,TRUE,76.07%,Premier
,,76.00%,TRUE,76.00%,Premier
,,75.93%,TRUE,75.93%,Premier
,,75.84%,TRUE,75.84%,Premier
,,75.76%,TRUE,75.76%,Premier
,,75.64%,TRUE,75.64%,Premier
,,75.58%,TRUE,75.58%,Premier
,,75.54%,TRUE,75.54%,Premier
,,75.54%,TRUE,75.54%,Premier
,,75.52%,TRUE,75.52%,Premier
,,75.44%,TRUE,75.44%,Premier
,,75.39%,TRUE,75.39%,Premier
,,75.33%,TRUE,75.33%,Premier
,,75.33%,TRUE,75.33%,Premier
,,75.32%,TRUE,75.32%,Premier
,,75.31%,TRUE,75.31%,Premier
,,75.25%,TRUE,75.25%,Premier
,,75.19%,TRUE,75.19%,Premier
,,75.14%,TRUE,75.14%,Premier
,,75.13%,TRUE,75.13%,Premier
,,75.09%,TRUE,75.09%,Premier
,,75.08%,TRUE,75.08%,Premier
,,74.94%,TRUE,74.94%,Premier
,,74.93%,TRUE,74.93%,Premier
,,74.91%,TRUE,74.91%,Premier
,Gen.G Black,74.83%,FALSE,#REF!,#REF!
,Evil Geniuses FE,74.77%,FALSE,#REF!,#REF!
,,74.73%,TRUE,74.73%,Premier
,XSET Purple,74.72%,FALSE,#REF!,#REF!
,Ignite Beyond,74.70%,FALSE,#REF!,#REF!
,,74.51%,TRUE,74.51%,Premier
,,74.43%,TRUE,74.43%,Premier
,,74.40%,TRUE,74.40%,Premier
,,74.38%,TRUE,74.38%,Premier
,,74.38%,TRUE,74.38%,Premier
,Knives Out,74.31%,FALSE,#REF!,#REF!
,,74.12%,TRUE,74.12%,Premier
,Skwirel Warriers,74.12%,FALSE,#REF!,#REF!
,,74.10%,TRUE,74.10%,Premier
,,74.00%,TRUE,74.00%,Premier
,Complexity GX3,73.98%,FALSE,#REF!,#REF!
,,73.93%,TRUE,73.93%,Premier
,Skwirel Warriers,73.92%,FALSE,#REF!,#REF!
,,73.90%,TRUE,73.90%,Premier
,,73.84%,TRUE,73.84%,Premier
,Gen.G Black,73.83%,FALSE,#REF!,#REF!
,,73.78%,TRUE,73.78%,Premier
,,73.76%,TRUE,73.76%,Premier
,,73.64%,TRUE,73.64%,Premier
,,73.57%,TRUE,73.57%,Premier
,,73.54%,TRUE,73.54%,Premier
,,73.48%,TRUE,73.48%,Premier
,,73.38%,TRUE,73.38%,Premier
,CLG Red,73.38%,FALSE,#REF!,#REF!
,,73.38%,TRUE,73.38%,Premier
,Raw Dogs,73.28%,FALSE,#REF!,#REF!
,,73.26%,TRUE,73.26%,Premier
,Nightblood Gaming,73.23%,FALSE,#REF!,#REF!
,,73.23%,TRUE,73.23%,Premier
,,73.18%,TRUE,73.18%,Premier
,Team Major Academy,73.12%,FALSE,#REF!,#REF!
,,73.04%,TRUE,73.04%,Premier
,SHIFT,73.01%,FALSE,#REF!,#REF!
,SHIFT,72.99%,FALSE,#REF!,#REF!
,,72.99%,TRUE,72.99%,Premier
,,72.98%,TRUE,72.98%,Premier
,,72.96%,TRUE,72.96%,Premier
,,72.84%,TRUE,72.84%,Premier
,,72.83%,TRUE,72.83%,Premier
,,72.77%,TRUE,72.77%,Premier
,,72.77%,TRUE,72.77%,Premier
,,72.77%,TRUE,72.77%,Premier
,,72.76%,TRUE,72.76%,Premier
,,72.71%,TRUE,72.71%,Premier
,MCT Esports,72.69%,FALSE,#REF!,#REF!
,,72.62%,TRUE,72.62%,Premier
,,72.60%,TRUE,72.60%,Premier
,,72.50%,TRUE,72.50%,Premier
,Nightblood Gaming,72.46%,FALSE,#REF!,#REF!
,,72.41%,TRUE,72.41%,Premier
,,72.31%,TRUE,72.31%,Premier
,,72.28%,TRUE,72.28%,Premier
,,72.25%,TRUE,72.25%,Premier
,Project (Acts),72.20%,FALSE,#REF!,#REF!
,,72.17%,TRUE,72.17%,Premier
,,72.14%,TRUE,72.14%,Premier
,,72.09%,TRUE,72.09%,Premier
,Emotional Support,72.01%,FALSE,#REF!,#REF!
,,72.00%,TRUE,72.00%,Premier
,YCP,71.95%,FALSE,#REF!,#REF!
,,71.92%,TRUE,71.92%,Premier
,,71.88%,TRUE,71.88%,Premier
,,71.81%,TRUE,71.81%,Premier
,,71.72%,TRUE,71.72%,Premier
,,71.71%,TRUE,71.71%,Premier
,,71.66%,TRUE,71.66%,Premier
,Immortals,71.64%,FALSE,#REF!,#REF!
,,71.57%,TRUE,71.57%,Premier
,,71.57%,TRUE,71.57%,Premier
,Project VII,71.57%,FALSE,#REF!,#REF!
,Emotional Support,71.52%,FALSE,#REF!,#REF!
,,71.38%,TRUE,71.38%,Premier
,,71.37%,TRUE,71.37%,Premier
,Project (Yoon),71.29%,FALSE,#REF!,#REF!
,Moon Raccoons Black,71.25%,FALSE,#REF!,#REF!
,,71.24%,TRUE,71.24%,Premier
,,71.04%,TRUE,71.04%,Premier
,,70.98%,TRUE,70.98%,Premier
,CrouchShoot,70.98%,FALSE,#REF!,#REF!
,,70.92%,TRUE,70.92%,Premier
,Nearest Airport,70.86%,FALSE,#REF!,#REF!
,,70.82%,TRUE,70.82%,Premier
,,70.81%,TRUE,70.81%,Premier
,,70.79%,TRUE,70.79%,Premier
,Team Reckaroo,70.78%,FALSE,#REF!,#REF!
,,70.77%,TRUE,70.77%,Premier
,,70.68%,TRUE,70.68%,Premier
,,70.55%,TRUE,70.55%,Premier
,,70.55%,TRUE,70.55%,Premier
,,70.51%,TRUE,70.51%,Premier
,,70.44%,TRUE,70.44%,Premier
,,70.44%,TRUE,70.44%,Premier
,,70.35%,TRUE,70.35%,Premier
,,70.32%,TRUE,70.32%,Premier
,Chicago Empyre,70.32%,FALSE,#REF!,#REF!
,Elysium,70.27%,FALSE,#REF!,#REF!
,,70.25%,TRUE,70.25%,Premier
,,70.21%,TRUE,70.21%,Premier
,Scooby Doo Gang,70.21%,FALSE,#REF!,#REF!
,Team Immoral,70.18%,FALSE,#REF!,#REF!
,Nightblood Gaming,70.14%,FALSE,#REF!,#REF!
,,70.05%,TRUE,70.05%,Premier
,,70.04%,TRUE,70.04%,Premier
,,70.01%,TRUE,70.01%,Premier
,,69.97%,TRUE,69.97%,Challenger
,,69.89%,TRUE,69.89%,Challenger
,,69.82%,TRUE,69.82%,Challenger
,,69.79%,TRUE,69.79%,Challenger
,,69.77%,TRUE,69.77%,Challenger
,,69.71%,TRUE,69.71%,Challenger
,New Moon White,69.71%,FALSE,#REF!,#REF!
,,69.63%,TRUE,69.63%,Challenger
,,69.62%,TRUE,69.62%,Challenger
,,69.53%,TRUE,69.53%,Challenger
,,69.47%,TRUE,69.47%,Challenger
,Elysium,69.39%,FALSE,#REF!,#REF!
,Shopify Rebellion GC,69.34%,FALSE,#REF!,#REF!
,,69.18%,TRUE,69.18%,Challenger
,Project VII,69.15%,FALSE,#REF!,#REF!
,,69.14%,TRUE,69.14%,Challenger
,,69.12%,TRUE,69.12%,Challenger
,,69.09%,TRUE,69.09%,Challenger
,,69.06%,TRUE,69.06%,Challenger
,,69.04%,TRUE,69.04%,Challenger
,Moon Raccoons Black,69.03%,FALSE,#REF!,#REF!
,Zulu Aim,69.03%,FALSE,#REF!,#REF!
,,69.02%,TRUE,69.02%,Challenger
,,69.01%,TRUE,69.01%,Challenger
,Gen.G Black,68.98%,FALSE,#REF!,#REF!
,,68.96%,TRUE,68.96%,Challenger
,,68.94%,TRUE,68.94%,Challenger
,,68.92%,TRUE,68.92%,Challenger
,unannounced,68.91%,FALSE,#REF!,#REF!
,Big Pizza,53.24%,FALSE,#REF!,#REF!
,Immortals,68.91%,FALSE,#REF!,#REF!
,,68.90%,TRUE,68.90%,Challenger
,,68.89%,TRUE,68.89%,Challenger
,,68.87%,TRUE,68.87%,Challenger
,,68.87%,TRUE,68.87%,Challenger
,,68.84%,TRUE,68.84%,Challenger
,BHOP Esports Rose,68.84%,FALSE,#REF!,#REF!
,XSET Purple,68.83%,FALSE,#REF!,#REF!
,,68.81%,TRUE,68.81%,Challenger
,QoR,68.81%,FALSE,#REF!,#REF!
,,68.80%,TRUE,68.80%,Challenger
,,68.78%,TRUE,68.78%,Challenger
,,68.72%,TRUE,68.72%,Challenger
,,68.70%,TRUE,68.70%,Challenger
,,68.67%,TRUE,68.67%,Challenger
,,68.67%,TRUE,68.67%,Challenger
,,68.67%,TRUE,68.67%,Challenger
,,68.61%,TRUE,68.61%,Challenger
,,68.49%,TRUE,68.49%,Challenger
,,68.47%,TRUE,68.47%,Challenger
,,68.44%,TRUE,68.44%,Challenger
,Hamboigas,68.43%,FALSE,#REF!,#REF!
,,68.43%,TRUE,68.43%,Challenger
,Team Revenge,68.42%,FALSE,#REF!,#REF!
,,68.38%,TRUE,68.38%,Challenger
,,68.38%,TRUE,68.38%,Challenger
,Team Major Academy,68.37%,FALSE,#REF!,#REF!
,,68.30%,TRUE,68.30%,Challenger
,Ariana Grande Perfume,68.28%,FALSE,#REF!,#REF!
,,68.27%,TRUE,68.27%,Challenger
,,68.26%,TRUE,68.26%,Challenger
,,68.26%,TRUE,68.26%,Challenger
,Stasis Red,68.25%,FALSE,#REF!,#REF!
,Project VII,68.20%,FALSE,#REF!,#REF!
,,68.14%,TRUE,68.14%,Challenger
,,68.13%,TRUE,68.13%,Challenger
,,68.12%,TRUE,68.12%,Challenger
,,68.12%,TRUE,68.12%,Challenger
,,68.09%,TRUE,68.09%,Challenger
,,68.08%,TRUE,68.08%,Challenger
,,68.06%,TRUE,68.06%,Challenger
,CRWNsports,68.00%,FALSE,#REF!,#REF!
,UTD Esports,68.00%,FALSE,#REF!,#REF!
,Team Mystic Black,68.00%,FALSE,#REF!,#REF!
,,67.99%,TRUE,67.99%,Challenger
,,67.98%,TRUE,67.98%,Challenger
,Team Reckaroo,67.95%,FALSE,#REF!,#REF!
,,67.95%,TRUE,67.95%,Challenger
,,67.89%,TRUE,67.89%,Challenger
,,67.88%,TRUE,67.88%,Challenger
,,67.85%,TRUE,67.85%,Challenger
,,67.85%,TRUE,67.85%,Challenger
,,67.85%,TRUE,67.85%,Challenger
,,67.85%,TRUE,67.85%,Challenger
,,67.84%,TRUE,67.84%,Challenger
,,67.81%,TRUE,67.81%,Challenger
,Fluid Gaming,67.80%,FALSE,#REF!,#REF!
,,67.80%,TRUE,67.80%,Challenger
,,67.76%,TRUE,67.76%,Challenger
,,67.69%,TRUE,67.69%,Challenger
,,67.69%,TRUE,67.69%,Challenger
,,67.67%,TRUE,67.67%,Challenger
,,67.66%,TRUE,67.66%,Challenger
,QoR,67.66%,FALSE,#REF!,#REF!
,,67.63%,TRUE,67.63%,Challenger
,Royalty Forgotten,67.63%,FALSE,#REF!,#REF!
,YFP White,67.53%,FALSE,#REF!,#REF!
,,67.48%,TRUE,67.48%,Challenger
,,67.45%,TRUE,67.45%,Challenger
,,67.44%,TRUE,67.44%,Challenger
,,67.43%,TRUE,67.43%,Challenger
,,67.38%,TRUE,67.38%,Challenger
,,67.38%,TRUE,67.38%,Challenger
,Team Major Academy,67.38%,FALSE,#REF!,#REF!
,,67.34%,TRUE,67.34%,Challenger
,,67.32%,TRUE,67.32%,Challenger
,Team Fish Taco,67.26%,FALSE,#REF!,#REF!
,,67.26%,TRUE,67.26%,Challenger
,Team Digital,67.20%,FALSE,#REF!,#REF!
,Mystic Venus,67.13%,FALSE,#REF!,#REF!
,,67.08%,TRUE,67.08%,Challenger
,,67.06%,TRUE,67.06%,Challenger
,,67.05%,TRUE,67.05%,Challenger
,,67.00%,TRUE,67.00%,Challenger
,,66.97%,TRUE,66.97%,Challenger
,Big Pizza,51.22%,FALSE,#REF!,#REF!
,,66.93%,TRUE,66.93%,Challenger
,Misfits Black,66.91%,FALSE,#REF!,#REF!
,Team Fish Taco,66.90%,FALSE,#REF!,#REF!
,Immortals,66.86%,FALSE,#REF!,#REF!
,Bearify,66.85%,FALSE,#REF!,#REF!
,Raw Dogs,66.78%,FALSE,#REF!,#REF!
,,66.72%,TRUE,66.72%,Challenger
,,66.71%,TRUE,66.71%,Challenger
,,66.69%,TRUE,66.69%,Challenger
,3VN,66.68%,FALSE,#REF!,#REF!
,,66.66%,TRUE,66.66%,Challenger
,Chicago Empyre,66.65%,FALSE,#REF!,#REF!
,,66.62%,TRUE,66.62%,Challenger
,,66.59%,TRUE,66.59%,Challenger
,,66.58%,TRUE,66.58%,Challenger
,,66.57%,TRUE,66.57%,Challenger
,,66.57%,TRUE,66.57%,Challenger
,QoR,66.55%,FALSE,#REF!,#REF!
,,66.53%,TRUE,66.53%,Challenger
,Realism Esports Blue,66.52%,FALSE,#REF!,#REF!
,Force Up Esports,66.52%,FALSE,#REF!,#REF!
,CrouchShoot,66.50%,FALSE,#REF!,#REF!
,,66.49%,TRUE,66.49%,Challenger
,Team Fish Taco,66.47%,FALSE,#REF!,#REF!
,,66.46%,TRUE,66.46%,Challenger
,Illicit Gaming,66.44%,FALSE,#REF!,#REF!
,Team Revenge,66.43%,FALSE,#REF!,#REF!
,Aspyre,66.42%,FALSE,#REF!,#REF!
,,66.37%,TRUE,66.37%,Challenger
,,66.36%,TRUE,66.36%,Challenger
,,66.33%,TRUE,66.33%,Challenger
,Ariana Grande Perfume,66.29%,FALSE,#REF!,#REF!
,,66.28%,TRUE,66.28%,Challenger
,WannaBees,66.25%,FALSE,#REF!,#REF!
,Abstract Empire,66.23%,FALSE,#REF!,#REF!
,,66.19%,TRUE,66.19%,Challenger
,,66.18%,TRUE,66.18%,Challenger
,Ariana Grande Perfume,66.16%,FALSE,#REF!,#REF!
,Lycus Empire,66.14%,FALSE,#REF!,#REF!
,Realism Esports Blue,66.09%,FALSE,#REF!,#REF!
,,66.07%,TRUE,66.07%,Challenger
